County,State,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind
Autauga,AL,6690,774,1727,2680,2394,2883197,1,1,1
Baldwin,AL,20254,2533,4933,9354,7753,35664,2,1,1
Barbour,AL,6729,569,1302,1618,1403,49874,1,1,1
Bibb,AL,5355,358,900,1218,1034,7302,1,1,1
Blount,AL,11181,819,2217,3164,2675,889020,1,1,1
Bullock,AL,2848,327,448,626,565,-2222,1,1,1
Butler,AL,4363,537,976,1164,1029,98136,1,1,1
Calhoun,AL,19546,2182,5722,6400,5545,808521,1,1,1
Chambers,AL,8718,849,1470,2005,1647,276636,1,1,1
Cherokee,AL,6398,464,1154,1436,1140,7077,1,1,1
Chilton,AL,9484,685,1887,2355,2009,20846,1,1,1
Choctaw,AL,3499,325,589,837,701,1997045,1,1,1
Clarke,AL,5196,594,972,1494,1290,545514,1,1,1
Clay,AL,3333,266,624,814,664,209084,1,1,1
Cleburne,AL,3695,234,597,833,697,869963,1,1,1
Coffee,AL,8316,694,1940,2590,2179,1002559,1,1,1
Colbert,AL,10160,1203,2463,3162,2606,5860561,1,1,1
Conecuh,AL,2872,296,576,746,635,77918,1,1,1
Coosa,AL,2707,231,422,645,517,25245,1,1,1
Covington,AL,8116,686,1763,2131,1748,5291,1,1,1
Crenshaw,AL,3755,271,692,783,651,-2222,1,1,1
Cullman,AL,16275,1367,3993,4572,3803,1565840,1,1,1
Dale,AL,7021,828,1811,2655,2280,90996,1,1,1
Dallas,AL,8207,1260,2183,2378,2155,2011358,1,1,1
DeKalb,AL,16525,1414,2949,3790,3150,217675,1,1,1
Elmore,AL,10979,1091,2028,4170,3646,74339,1,1,1
Escambia,AL,8120,721,1763,2165,1834,2302304,1,1,1
Etowah,AL,18341,1982,4505,5897,4895,1619985,1,1,1
Fayette,AL,4298,315,931,1049,862,71686,1,1,1
Franklin,AL,7922,664,1479,1742,1456,93630,1,1,1
Geneva,AL,6209,409,1293,1492,1218,161155,1,1,1
Greene,AL,2156,210,429,524,468,3448520,1,1,1
Hale,AL,4080,325,877,1011,912,51811,1,1,1
Henry,AL,3793,294,585,951,789,6200,1,1,1
Houston,AL,14840,1547,3259,5260,4426,166337,1,1,1
Jackson,AL,12355,1219,2452,3076,2497,6565659,1,1,1
Jefferson,AL,83737,12866,25084,36995,31672,13881314,2,1,1
Lamar,AL,3708,316,627,871,700,105,1,1,1
Lauderdale,AL,14143,1922,3957,5087,4340,150351,1,1,1
Lawrence,AL,8128,811,1423,1965,1650,2676270,1,1,1
Lee,AL,12989,1982,3886,6997,7710,214408,1,1,1
Limestone,AL,12210,1370,2864,4019,3408,31182,1,1,1
Lowndes,AL,2939,361,462,703,634,269742,1,1,1
Macon,AL,4027,444,850,1267,1319,-2222,1,1,1
Madison,AL,28690,4944,9467,16746,14705,922380,1,1,1
Marengo,AL,3964,453,857,1193,1055,550529,1,1,1
Marion,AL,7912,553,1450,1758,1393,662356,1,1,1
Marshall,AL,17599,1461,3402,4779,3984,220359,1,1,1
Mobile,AL,59807,8140,9386,21921,19559,21502254,2,1,1
Monroe,AL,4953,538,802,1299,1132,4478917,1,1,1
Montgomery,AL,27476,4395,7028,12171,11178,525979,1,1,1
Morgan,AL,18217,2266,4163,6428,5407,4780002,1,1,1
Perry,AL,2502,288,476,592,581,1052,1,1,1
Pickens,AL,4021,397,872,1121,973,60,1,1,1
Pike,AL,5590,545,1040,1668,1638,3133084,1,1,1
Randolph,AL,5839,535,956,1281,1084,21996,1,1,1
Russell,AL,11013,1111,1938,2738,2332,2399555,1,1,1
"St. Clair",AL,14117,1135,3385,4123,3497,208520,1,1,1
Shelby,AL,14846,2373,5133,9515,8223,7440897,2,1,1
Sumter,AL,2941,326,660,751,730,8006596,1,1,1
Talladega,AL,16423,1723,4701,4547,3867,1344808,1,1,1
Tallapoosa,AL,8472,754,1816,2338,1906,66626,1,1,1
Tuscaloosa,AL,22290,2786,6263,9557,9241,6160225,1,1,1
Walker,AL,15989,1212,4106,4022,3280,6492544,1,1,1
Washington,AL,3236,392,709,976,848,2337250,1,1,1
Wilcox,AL,3147,307,558,679,638,1894381,1,1,1
Winston,AL,6425,475,1190,1421,1156,88000,1,1,1
"Aleutians East",AK,525,100,-2222,171,212,25195,1,1,1
"Aleutians West",AK,897,177,-2222,338,409,5362,1,1,1
Anchorage,AK,16120,7950,-2222,14238,20542,41319,1,1,1
Bethel,AK,2456,893,-2222,754,1236,-2222,1,1,1
"Bristol Bay",AK,80,57,-2222,60,83,-2222,1,1,1
Denali,AK,108,102,-2222,107,140,247007,1,1,1
Dillingham,AK,624,218,-2222,233,365,-2222,1,1,1
"Fairbanks North Star",AK,4115,2590,-2222,4461,6826,4196772,1,1,1
Haines,AK,178,129,-2222,132,170,-2222,1,1,1
Juneau,AK,1354,962,-2222,1677,2318,43364398,1,1,1
"Kenai Peninsula",AK,3781,2138,-2222,2789,3933,2056342,1,1,1
"Ketchikan Gateway",AK,884,535,-2222,710,972,6701,1,1,1
"Kodiak Island",AK,1142,505,-2222,662,953,4336,1,1,1
"Lake and Peninsula",AK,237,78,-2222,77,125,-2222,1,1,1
Matanuska-Susitna,AK,5469,2514,-2222,3994,5911,-2222,1,1,1
Nome,AK,1241,471,-2222,435,693,-2222,1,1,1
"North Slope",AK,796,350,-2222,313,501,-2222,1,1,1
"Northwest Arctic",AK,1028,368,-2222,334,562,498749400,1,1,1
"Prince of Wales-Outer Ketchikan",AK,575,334,-2222,306,426,-2222,1,1,1
Sitka,AK,534,257,-2222,484,682,-2222,1,1,1
Skagway-Hoonah-Angoon,AK,335,241,-2222,178,238,-2222,1,1,1
"Southeast Fairbanks",AK,503,336,-2222,340,523,1606,1,1,1
Valdez-Cordova,AK,719,494,-2222,532,754,193,1,1,1
"Wade Hampton",AK,1066,525,-2222,302,559,-2222,1,1,1
Wrangell-Petersburg,AK,569,293,-2222,338,470,-2222,1,1,1
Yakutat,AK,79,34,-2222,41,54,-2222,1,1,1
Yukon-Koyukuk,AK,913,365,-2222,311,478,-2222,1,1,1
Apache,AZ,13318,2313,1323,3344,4052,3173232,1,1,1
Cochise,AZ,16637,2737,3232,6938,7031,652746,1,1,1
Coconino,AZ,11564,3544,2509,6647,7642,1660634,1,1,1
Gila,AZ,7580,1276,1698,2899,2771,40671487,2,1,1
Graham,AZ,4771,809,868,1752,1964,-2222,1,1,1
Greenlee,AZ,811,199,204,398,415,5390247,1,1,1
"La Paz",AZ,4520,521,586,1202,1068,80829,1,1,1
Maricopa,AZ,401456,74246,55889,195126,197150,1872997,2,2,1
Mohave,AZ,29449,3485,5833,10755,9923,162926,1,1,1
Navajo,AZ,17550,3140,2949,5446,6271,3838655,1,1,1
Pima,AZ,99444,19949,18572,51475,52043,4047227,1,1,1
Pinal,AZ,40746,4531,6954,12759,12869,1603192,2,2,1
"Santa Cruz",AZ,9488,1432,1058,2121,2334,6096,1,2,1
Yavapai,AZ,21679,3646,5592,11746,10856,2058850,1,1,1
Yuma,AZ,37549,12082,6971,9471,9943,37012,1,1,1
Arkansas,AR,3754,765,494,1289,1095,623173,1,1,1
Ashley,AR,4234,784,727,1468,1278,1614518,1,1,1
Baxter,AR,6774,844,1854,2785,2153,8276,1,1,1
Benton,AR,23612,2760,4491,11631,10422,859820,1,1,1
Boone,AR,5761,798,1385,2334,1938,77520,1,1,1
Bradley,AR,2741,417,450,797,699,48561,1,1,1
Calhoun,AR,1217,177,245,365,306,391469,1,1,1
Carroll,AR,5234,574,1005,1750,1459,57595,1,1,1
Chicot,AR,3042,482,403,824,737,-2222,1,1,1
Clark,AR,3384,631,687,1490,1575,156327,1,1,1
Clay,AR,4573,570,620,1088,893,34520,1,1,1
Cleburne,AR,4623,515,781,1719,1387,7365,1,1,1
Cleveland,AR,1610,236,278,572,497,-2222,1,1,1
Columbia,AR,4087,670,764,1583,1501,795161,1,1,1
Conway,AR,3729,470,745,1328,1148,623756,1,1,1
Craighead,AR,12563,2021,2813,5507,5147,96088,1,1,1
Crawford,AR,10684,1095,1988,3596,3209,157171,1,1,1
Crittenden,AR,9689,1421,1609,3063,2882,400631,2,1,1
Cross,AR,3975,625,627,1205,1080,34182,1,1,1
Dallas,AR,1883,268,373,545,481,32847,1,1,1
Desha,AR,3236,519,448,884,781,2001846,1,1,1
Drew,AR,3160,698,611,1192,1157,-2222,1,1,1
Faulkner,AR,9862,2095,2010,6103,6187,337314,1,1,1
Franklin,AR,3543,352,646,1175,1025,411525,1,1,1
Fulton,AR,2394,249,457,801,641,-2222,1,1,1
Garland,AR,14398,2153,2327,6223,5049,3285394,1,1,1
Grant,AR,2709,393,539,1131,977,92362,1,1,1
Greene,AR,7353,1027,1411,2512,2175,164430,1,1,1
Hempstead,AR,4646,605,700,1461,1313,998593,1,1,1
"Hot Spring",AR,5696,754,1131,2022,1727,191308,1,1,1
Howard,AR,2803,331,461,913,802,434845,1,1,1
Independence,AR,5702,1037,1191,2245,1954,2001055,1,1,1
Izard,AR,2582,311,483,906,733,0,1,1,1
Jackson,AR,3929,616,640,1154,1064,20601,1,1,1
Jefferson,AR,13214,2714,2476,5117,4676,7676226,1,1,1
Johnson,AR,5110,504,891,1521,1346,296085,1,1,1
Lafayette,AR,1903,231,322,520,443,-2222,1,1,1
Lawrence,AR,4230,537,751,1112,970,2346,1,1,1
Lee,AR,3278,359,316,743,690,-2222,1,1,1
Lincoln,AR,3369,387,479,957,872,-2222,1,1,1
"Little River",AR,2391,299,468,855,726,3123758,1,1,1
Logan,AR,4675,470,772,1472,1265,6247975,1,1,1
Lonoke,AR,8730,1228,1583,3804,3492,673682,1,1,1
Madison,AR,3244,269,508,962,838,6480,1,1,1
Marion,AR,2940,319,781,1142,914,292706,1,1,1
Miller,AR,7343,879,1296,2732,2388,168463,1,1,1
Mississippi,AR,10477,1743,1831,2869,2632,7129067,1,1,1
Monroe,AR,2194,257,365,584,517,-2222,1,1,1
Montgomery,AR,1971,201,362,614,505,-2222,1,1,1
Nevada,AR,1958,251,387,613,536,143957,1,1,1
Newton,AR,1763,175,369,559,464,-2222,1,1,1
Ouachita,AR,4832,862,709,1739,1503,29981,1,1,1
Perry,AR,1869,242,376,678,582,-2222,1,1,1
Phillips,AR,5375,807,683,1401,1349,13092,1,1,1
Pike,AR,2346,239,293,714,608,790,1,1,1
Poinsett,AR,6397,731,953,1598,1388,5988,1,1,1
Polk,AR,3724,418,834,1293,1104,116162,1,1,1
Pope,AR,8098,1235,1749,3588,3425,125487,1,1,1
